bigram,topic
gdp growth,Economy
fiscal deficit,Economy
monetary policy,Economy
interest rate,Economy
interest rates,Economy
inflation rate,Economy
union budget,Economy
economic slowdown,Economy
repo rate,Economy
rbi policy,Economy
current account,Economy
fiscal year,Economy
trade war,Trade
import duty,Trade
export subsidy,Trade
customs duty,Trade
trade agreement,Trade
trade deal,Trade
wto dispute,Trade
tariff hike,Trade
free trade,Trade
trade policy,Trade
gst rate,Tax
gst council,Tax
income tax,Tax
tax reform,Tax
tax notice,Tax
corporate tax,Tax
tax tribunal,Tax
tax department,Tax
withholding tax,Tax
tax litigation,Tax
national security,Security
border tension,Security
defence policy,Security
cyber security,Security
geopolitical tension,Security
military conflict,Security
security concerns,Security
supreme court,Institutions
election commission,Institutions
parliament session,Institutions
regulatory approval,Institutions
sebi guidelines,Institutions
rbi guidelines,Institutions
government policy,Institutions
policy uncertainty,Institutions
regulatory change,Institutions
court ruling,Institutions
public health,Health
health ministry,Health
covid restrictions,Health
drug pricing,Health
healthcare policy,Health
pharma regulation,Health
environmental clearance,Environment
climate policy,Environment
pollution control,Environment
carbon tax,Environment
renewable energy policy,Environment
green energy,Environment
emission norms,Environment
data protection,Technology
digital india,Technology
technology policy,Technology
telecom regulation,Technology
spectrum auction,Technology
data privacy,Technology
ai regulation,Technology
